tp,fp,fn,tn,roc,exclusion error,inclusion error,sensitivity,specificity,f1,accuracy,nkids,ndistricts,Method
1839,31,11050,874,0.5542128304190176,0.03425414364640884,0.9267024488426703,0.1426798044844441,0.9657458563535911,0.24920387560132798,0.1966797158184718,11924,527,IMI Target
9637,275,3252,630,0.7219122134639628,0.30386740331491713,0.8377125193199382,0.7476918302428427,0.6961325966850829,0.845313802026227,0.744309119907206,3882,442,Ridge Model (0.5)
7830,178,5059,727,0.7054048400516265,0.19668508287292819,0.8743518838575873,0.6074947629761812,0.8033149171270718,0.7493898645738623,0.6203421777584457,5786,503,Ridge Model (0.55)
5550,103,7339,802,0.658393790756519,0.1138121546961326,0.9014863038938705,0.43059973620917064,0.8861878453038674,0.5986409233092439,0.46049006814557053,8141,556,Ridge Model (0.6)
3060,41,9829,864,0.5960539395235733,0.045303867403314914,0.9191994762929019,0.23741174645046165,0.9546961325966851,0.38273921200750466,0.28447150935189214,10693,613,Ridge Model (0.65)
1001,11,11888,894,0.5327542137305827,0.012154696132596685,0.9300578939133156,0.07766312359376212,0.9878453038674033,0.1440184159412992,0.13737857039292445,12782,637,Ridge Model (0.7)
1843,27,11046,878,0.5565779462465102,0.02983425414364641,0.9263669909426367,0.14299014663666693,0.9701657458563536,0.24974591774510468,0.19725967812092213,11924,632,"Ridge Model (targeting 11924), threshold=0.6772636932478143"
