old_country,new_country,mode,tp,tn,fp,fn,roc,sensitivity,specificity,f1,accuracy
IA2015,IA2020,sparse,32890,598,896,5906,0.6240177743658415,0.8477678111145479,0.4002677376171352,0.9062853048965308,0.8311739885827749
IA2015,IA2020,sparse+contextual,32812,593,901,5984,0.6213391559846977,0.8457572945664501,0.3969210174029451,0.9050462701181924,0.8291139240506329
IA2015,IA2020,all,32761,604,890,6035,0.6243632639641978,0.8444427260542324,0.4042838018741633,0.904412881140696,0.8281211218664681
IA2006,IA2020,sparse,34374,447,1047,4422,0.5926079821916803,0.8860191772347664,0.2991967871485944,0.926310683536117,0.864259121370067
IA2006,IA2020,all,33825,483,1011,4971,0.5975807032646516,0.8718682338385401,0.3232931726907631,0.91875814863103,0.8515264333581534
ML2006,ML2018,sparse,1198,170,106,269,0.7162873062446282,0.8166325835037491,0.6159420289855072,0.8646697942980873,0.7848537005163512
ML2006,ML2018,all,1185,172,104,282,0.7154796834711479,0.8077709611451943,0.6231884057971014,0.8599419448476053,0.7785427423981641
NG2008,NG2018,sparse,1421,208,161,502,0.6513175974193439,0.7389495579823193,0.5636856368563685,0.8108416547788873,0.7107329842931938
NG2008,NG2018,all,1470,208,161,453,0.6640581070397287,0.7644305772230889,0.5636856368563685,0.8272369161508161,0.7321116928446771
