country,mode,model,mean_train_f1,mean_train_accuracy,mean_train_roc_auc,mean_train_specificity,mean_train_sensitivity,tp,tn,fp,fn,roc,sensitivity,specificity,f1,accuracy,best_params,is_SMOTE,refit
ML2018,sparse+contextual,Ridge,0.916749927,0.847294745,0.769901932,0.042105263,0.997082643,438,4,81,2,0.521256684,0.995454545,0.047058824,0.913451512,0.841904762,{'alpha': 1e-08},no,accuracy
ML2018,sparse+contextual,Decision Tree,0.874233507,0.790659785,0.63113392,0.397840756,0.863703528,378,33,52,62,0.623663102,0.859090909,0.388235294,0.868965517,0.782857143,{'criterion': 'entropy'},no,accuracy
ML2018,sparse+contextual,Nearest Neighbor,0.90784672,0.835788977,0.728724175,0.173144399,0.95911911,425,16,69,15,0.577072193,0.965909091,0.188235294,0.91006424,0.84,{'n_neighbors': 8},no,accuracy
ML2018,sparse+contextual,MLP,0.916002038,0.850576806,0.766147129,0.231309042,0.965943642,436,14,71,4,0.577807487,0.990909091,0.164705882,0.920802534,0.857142857,{'alpha': 0.1},no,accuracy
ML2018,all,Ridge,0.914168871,0.843176145,0.758279268,0.052091768,0.990262846,439,7,78,1,0.540040107,0.997727273,0.082352941,0.917450366,0.84952381,{'alpha': 1e-08},no,accuracy
ML2018,all,Decision Tree,0.86841206,0.779929839,0.59869355,0.334682861,0.862704239,390,30,55,50,0.619652406,0.886363636,0.352941176,0.881355932,0.8,{'criterion': 'entropy'},no,accuracy
ML2018,all,Nearest Neighbor,0.903348549,0.825932672,0.633012467,0.07854251,0.964939616,428,11,74,12,0.551069519,0.972727273,0.129411765,0.908704883,0.836190476,{'n_neighbors': 8},no,accuracy
ML2018,all,MLP,0.91421488,0.847291372,0.741388598,0.214304993,0.964944352,428,19,66,12,0.598128342,0.972727273,0.223529412,0.916488223,0.851428571,{'alpha': 0.0001},no,accuracy
ML2006,sparse,Ridge,0.932330525,0.873239607,0.771582225,0,1,640,0,96,0,0.5,1,0,0.930232558,0.869565217,{'alpha': 1e-08},no,accuracy
ML2006,sparse,Decision Tree,0.928739483,0.868544075,0.725906572,0.092600423,0.981178677,613,10,86,27,0.530989583,0.9578125,0.104166667,0.915608663,0.846467391,{'criterion': 'gini'},no,accuracy
